player,position,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,tm,rnd,pick,yr
Paul Soliai,DT,Utah,6-4,344,5.10,29.5,,103,7.66,4.69,Miami Dolphins,4,108,2007
Matt Spaeth,TE,Minnesota,6-7,270,4.83,,,,,,Pittsburgh Steelers,3,77,2007
Anthony Spencer,DE,Purdue,6-3,261,4.70,32.5,30,112,7.14,4.43,Dallas Cowboys,1,26,2007
Joe Staley,OT,Central Michigan,6-6,306,4.79,,27,,,,San Francisco 49ers,1,28,2007
Isaiah Stanback,QB,Washington,6-2,216,4.60,,22,,,,Dallas Cowboys,4,103,2007
Drew Stanton,QB,Michigan State,6-3,226,4.75,30.5,,108,6.77,4.41,Detroit Lions,2,43,2007
Scott Stephenson,C,Iowa State,6-3,297,5.20,29.5,21,99,7.62,4.57,,,,
Cameron Stephenson,OG,Rutgers,6-3,306,5.40,28.5,34,101,7.72,4.81,Pittsburgh Steelers,5,156,2007
Syndric Steptoe,WR,Arizona,5-9,194,4.59,33.0,17,,,,Cleveland Browns,7,234,2007
John Stocco,QB,Wisconsin,6-2,207,5.08,27.0,,104,7.29,4.60,,,,
Daren Stone,S,Maine,6-3,218,4.58,39.0,13,132,7.13,4.44,Atlanta Falcons,6,203,2007
Chansi Stuckey,WR,Clemson,5-11,197,4.56,35.0,,120,6.91,4.14,New York Jets,7,235,2007
Kasey Studdard,OG,Texas,6-2,303,5.18,,32,,,,Houston Texans,6,183,2007
Palauni Ma Sun,OG,Oregon,6-5,319,5.86,24.5,22,91,8.70,5.01,,,,
Jayson Swain,WR,Tennessee,6-0,212,4.63,33.0,,,,,,,,
Josh Swogger,QB,Montana,6-4,237,5.12,28.5,,107,7.25,4.76,,,,
Herb Taylor,OT,TCU,6-4,296,5.19,27.0,26,100,7.78,4.64,,,,
Ramonce Taylor,RB,Texas College,5-10,195,4.50,34.0,,125,6.98,4.23,,,,
Zac Taylor,QB,Nebraska,6-2,216,5.06,30.5,,110,7.39,4.60,,,,
Courtney Taylor,WR,Auburn,6-2,204,4.50,36.0,,122,7.22,4.28,Seattle Seahawks,6,197,2007
Tony Taylor,OLB,Georgia,6-0,236,4.92,32.0,26,108,7.17,4.36,,,,
Joe Thomas,OT,Wisconsin,6-7,311,4.92,33.0,28,110,7.95,4.88,Cleveland Browns,1,3,2007
Marcus Thomas,DT,Florida,6-3,314,5.23,,27,,,,Denver Broncos,4,121,2007
Paul Thompson,WR,Oklahoma,6-4,216,4.62,33.5,,127,6.81,4.11,,,,
Lawrence Timmons,OLB,Florida State,6-1,234,4.66,35.0,25,123,6.89,4.32,Pittsburgh Steelers,1,15,2007
Matt Toeaina,DT,Oregon,6-2,307,5.11,,26,,,,Cincinnati Bengals,6,187,2007
Matt Trannon,WR,Michigan State,6-6,216,4.57,36.5,13,118,7.09,4.34,,,,
Tank Tyler,DT,North Carolina State,6-2,306,5.18,28.5,42,,,,Kansas City Chiefs,3,82,2007
Tony Ugoh,OT,Arkansas,6-5,301,5.06,32.5,32,117,,,Indianapolis Colts,2,42,2007
Dane Uperesa,OT,Hawaii,6-4,309,5.28,,,,,,,,,
Chad Upshaw,TE,Buffalo,6-4,252,4.90,33.5,16,108,7.23,4.58,,,,
Elliot Vallejo,OT,California-Davis,6-7,327,5.38,26.0,24,94,7.95,5.14,,,,
Jonathan Wade,CB,Tennessee,5-10,195,4.36,40.5,,126,7.07,4.40,St. Louis Rams,3,84,2007
Darius Walker,RB,Notre Dame,5-10,206,4.55,40.5,19,123,7.18,4.39,,,,
D.J. Ware,RB,Illinois,6-0,225,4.61,,21,,,,,,,
Justin Warren,ILB,Texas A&M,6-3,245,4.85,29.5,16,115,,,,,,
Anthony Waters,ILB,Clemson,6-3,245,4.59,,25,,,,San Diego Chargers,3,96,2007
Eric Weddle,S,Utah,5-11,203,4.48,33.5,11,113,6.78,4.12,San Diego Chargers,2,37,2007
John Wendling,S,Wyoming,6-1,222,4.48,38.5,22,129,6.96,4.16,Buffalo Bills,6,184,2007
Marvin White,S,TCU,6-1,199,4.54,33.5,17,,,,Cincinnati Bengals,4,114,2007
Chaz Williams,CB,La-Monroe,5-11,196,4.68,32.5,13,108,,,,,,
Chandler Williams,WR,Florida International,5-11,184,4.42,32.5,,123,6.99,4.29,Minnesota Vikings,7,233,2007
Paul Williams,WR,Fresno State,6-1,205,4.45,38.5,,125,7.03,4.24,Tennessee Titans,3,80,2007
Patrick Willis,ILB,Mississippi,6-1,242,4.51,39.0,22,119,7.23,4.46,San Francisco 49ers,1,11,2007
Julius Wilson,OT,Ala-Birmingham,6-4,327,5.43,27.0,,103,8.33,5.00,,,,
C.J. Wilson,CB,Baylor,6-1,195,4.62,37.5,,127,6.81,4.20,Carolina Panthers,7,226,2007
Josh Wilson,CB,Maryland,5-9,189,4.39,36.5,20,120,7.07,4.43,Seattle Seahawks,2,55,2007
Garrett Wolfe,RB,Northern Illinois,5-7,186,4.39,35.5,22,116,6.69,4.08,Chicago Bears,3,93,2007
LaMarr Woodley,DE,Michigan,6-1,266,4.74,,,,,,Pittsburgh Steelers,2,46,2007
D'Juan Woods,WR,Oklahoma State,6-0,208,4.58,36.5,,120,6.89,4.34,,,,
Abraham Wright,DE,Colorado,6-2,242,4.90,31.0,24,111,7.20,4.46,Miami Dolphins,7,238,2007
Dwayne Wright,RB,Fresno State,5-11,228,4.66,34.0,14,115,7.23,4.43,Buffalo Bills,4,111,2007
Eric Wright,CB,UNLV,5-11,192,4.36,36.5,16,123,6.93,4.23,Cleveland Browns,2,53,2007
Mansfield Wrotto,OG,Georgia Tech,6-3,317,5.40,,27,92,8.34,4.92,Seattle Seahawks,4,124,2007
DeShawn Wynn,RB,Florida,5-10,232,4.47,31.5,,115,,,Green Bay Packers,7,228,2007
Marshal Yanda,OT,Florida State,6-4,307,5.15,,,,,,Baltimore Ravens,3,86,2007
C.J. Ah You,DE,Oklahoma,6-4,274,4.70,36.5,26,108,7.06,4.40,Buffalo Bills,7,239,2007
Selvin Young,RB,Texas,5-11,207,4.58,,,,,,,,,
Jared Zabransky,QB,Boise State,6-2,219,4.56,35.5,,111,6.78,4.08,,,,
