player,position,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,tm,rnd,pick,yr
Tr̩ Turner,WR,Virginia Tech,6-1,184,4.51,27.0,,113,7.45,4.53,,,,
Delarrin Turner-Yell,S,Oklahoma,5-10,197,4.47,,,122,,,Denver Broncos,5,152,2022
Eyioma Uwazurike,DT,Iowa St.,6-6,316,,33.0,,107,,,Denver Broncos,4,116,2022
CJ Verdell,RB,Oregon,5-8,194,,29.5,,118,,,,,,
Cordell Volson,OG,North Dakota St.,6-6,315,5.27,25.0,25,104,8.31,4.93,Cincinnati Bengals,4,136,2022
Matt Waletzko,OT,North Dakota,6-8,312,5.03,30.0,,113,,,Dallas Cowboys,5,155,2022
Kenneth Walker,RB,Michigan St.,5-9,211,4.38,34.0,,122,,,Seattle Seahawks,2,41,2022
Quay Walker,LB,Georgia,6-4,241,4.52,32.0,,122,,,Green Bay Packers,1,22,2022
Rasheed Walker,OT,Penn St.,6-6,313,,,,,,,Green Bay Packers,7,249,2022
Travon Walker,DE,Georgia,6-5,272,4.51,35.5,,123,6.89,4.32,Jacksonville Jaguars,1,1,2022
Jermaine Waller,CB,Virginia Tech,6-0,180,4.68,,,,,,,,,
Jaylen Warren,RB,Oklahoma St.,5-8,204,4.55,31.5,,119,,,,,,
Christian Watson,WR,North Dakota St.,6-4,208,4.36,38.5,,136,,,Green Bay Packers,2,34,2022
Jaylen Watson,CB,Washington St.,6-2,197,4.51,,18,,,,Kansas City Chiefs,7,243,2022
Luke Wattenberg,C,Washington,6-4,299,5.20,29.5,,113,7.45,4.57,Denver Broncos,5,171,2022
Sam Webb,CB,Missouri Western,6-1,202,4.48,,14,,,,,,,
Dohnovan West,C,Arizona St.,6-3,296,5.27,28.0,,112,,,,,,
Isaiah Weston,WR,Northern Iowa,6-4,214,4.42,40.0,20,135,,,,,,
Rachaad White,RB,Arizona St.,6-0,214,4.48,38.0,,125,,,Tampa Bay Buccaneers,3,91,2022
ZaQuandre White,RB,South Carolina,6-0,206,,,,,,,,,,
Zamir White,RB,Georgia,6-0,214,4.40,33.5,,128,,,Las Vegas Raiders,4,122,2022
Tre Williams,EDGE,Arkansas,6-4,253,5.08,26.5,,104,7.20,4.24,,,,
Damarion Williams,CB,Houston,5-10,182,,34.5,17,118,,,Baltimore Ravens,4,141,2022
Devon Williams,WR,Oregon,6-5,210,4.65,33.0,,133,,,,,,
Jameson Williams,WR,Alabama,6-2,179,,,,,,,Detroit Lions,1,12,2022
Joshua Williams,CB,Fayetteville St. University,6-3,195,4.53,36.0,,124,,,Kansas City Chiefs,4,135,2022
Kyren Williams,RB,Notre Dame,5-9,194,4.65,32.0,,116,,,Los Angeles Rams,5,164,2022
Sam Williams,EDGE,Mississippi,6-4,261,4.46,32.5,,123,,,Dallas Cowboys,2,56,2022
Malik Willis,QB,Liberty,6-1,219,,,,,,,Tennessee Titans,3,86,2022
Garrett Wilson,WR,Ohio St.,6-0,183,4.38,36.0,,123,,4.36,New York Jets,1,10,2022
Perrion Winfrey,DT,Oklahoma,6-4,290,4.89,,,,,,Cleveland Browns,4,108,2022
Jelani Woods,TE,Virginia,6-7,259,4.61,,24,,,,Indianapolis Colts,3,73,2022
JT Woods,S,Baylor,6-2,195,4.36,39.5,,128,,,Los Angeles Chargers,3,79,2022
Mike Woods,WR,Oklahoma,6-1,204,4.55,34.5,,125,,,Cleveland Browns,6,202,2022
Tariq Woolen,CB,Texas-San Antonio,6-4,205,4.26,42.0,,,,,Seattle Seahawks,5,153,2022
Alex Wright,DE,Alabama-Birmingham,6-5,271,,,15,,,,Cleveland Browns,3,78,2022
Mykael Wright,CB,Oregon,5-11,173,4.57,,,,,,,,,
Devonte Wyatt,DT,Georgia,6-3,304,4.77,29.0,,111,,,Green Bay Packers,1,28,2022
Jalen Wydermyer,TE,Texas A&M,6-4,255,,,,,,,,,,
Cade York,K,LSU,6-1,206,,,12,,,,Cleveland Browns,4,124,2022
Nick Zakelj,OT,Fordham,6-6,316,5.13,28.5,27,110,7.75,4.71,San Francisco 49ers,6,187,2022
Bailey Zappe,QB,Western Kentucky,6-1,215,4.88,30.0,,109,7.19,4.40,New England Patriots,4,137,2022
