,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,rnd,pick,completions_total,attempts_total,passing_yards_total,pass_td_total,ints_thrown_total,rush_attempts_total,rush_yards_total,rush_td_total,receptions_total,rec_yards_total,rec_td_total,rush_rec_plays_total,tot_rush_rec_yards,total__rush_rec_tds,college_score_total,completions_avg,attempts_avg,completion_percentage,passing_yards_avg,pass_yards_per_attempt,adjusted_pass_yards_per_attempt,pass_td_avg,ints_thrown_avg,passer_rating,rush_attempts_avg,rush_yards_avg,avg_rush_yards,rush_td_avg,receptions_avg,rec_yards_avg,avg_rec_yards,rec_td_avg,rush_rec_plays_avg,avg_rush_rec_yards,college_score_avg,nfl_score,position_FB,position_QB,position_RB,position_TE,position_WR
368,165.0,180.34,200.0,4.38,30.5,0.0,122.0,6.8,4.22,3.0,73.0,0.0,0.0,0.0,0.0,0.0,85717.0,495650.0,5372.0,6956.0,73326.0,409.0,92673.0,568976.0,5781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,77.0,5.4,1.0,2.0,7.0,7.0,0.0,18.0,5.7,0.0,6.8,False,False,True,False,False
369,55.0,177.8,215.0,4.48,34.0,20.0,119.0,6.88,100.0,4.0,122.0,162.0,162.0,2754.0,162.0,0.0,121661.0,624417.0,4917.0,5837.0,47348.0,0.0,127498.0,671765.0,4917.0,0.0,1.0,1.0,100.0,17.0,17.0,37.0,1.0,0.0,572.8,21.0,107.0,4.8,1.0,1.0,11.0,7.3,0.0,21.0,4.9,0.0,3.75,False,False,True,False,False
370,163.0,200.66,270.0,4.63,33.0,24.0,0.0,100.0,100.0,3.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3844.0,56695.0,0.0,3844.0,56695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,12.0,0.0,1.0,12.0,0.0,1.0,False,False,False,True,False
371,178.0,190.5,255.0,4.68,0.0,24.0,0.0,100.0,100.0,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21808.0,264536.0,2315.0,21808.0,264536.0,2315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,11.0,0.0,4.0,11.0,0.0,1.1,False,False,False,True,False
372,93.0,198.12,262.0,4.59,28.0,22.0,118.0,7.25,4.38,5.0,158.0,0.0,0.0,0.0,0.0,0.0,983.0,7095.0,0.0,8791.0,127962.0,1217.0,9774.0,135057.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,2.0,33.0,16.0,0.0,2.0,13.5,0.0,0.0,False,False,False,True,False
373,129.0,190.5,195.0,4.58,0.0,0.0,0.0,100.0,100.0,5.0,156.0,84484.0,131438.0,966512.0,7034.0,3685.0,44731.0,222502.0,2461.0,0.0,0.0,0.0,44731.0,222502.0,2461.0,0.0,16.0,25.0,63.3,189.0,7.2,7.1,1.0,0.0,127.3,9.0,34.0,4.5,0.0,0.0,0.0,0.0,0.0,9.0,4.5,0.0,0.0,False,True,False,False,False
374,76.0,182.88,209.0,4.59,0.0,0.0,0.0,100.0,100.0,3.0,81.0,164.0,164.0,5740.0,0.0,0.0,2067.0,8699.0,388.0,22867.0,256948.0,2856.0,24934.0,265647.0,3244.0,0.0,1.0,1.0,100.0,35.0,35.0,35.0,0.0,0.0,394.0,1.0,5.0,5.0,0.0,5.0,58.0,12.0,1.0,6.0,11.4,0.0,1.55,False,False,False,False,True
375,82.0,180.34,176.0,4.51,31.0,0.0,120.0,6.57,4.12,3.0,84.0,0.0,19.0,0.0,0.0,19.0,3700.0,22110.0,7.0,27344.0,498891.0,3053.0,31044.0,521001.0,3060.0,0.0,0.0,1.0,0.0,0.0,0.0,-45.0,0.0,1.0,-200.0,1.0,6.0,6.0,0.0,5.0,87.0,17.1,0.0,6.0,16.3,0.0,3.1500000000000004,False,False,False,False,True
376,51.0,182.88,241.0,4.68,32.5,30.0,110.0,7.2,4.46,5.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,True,False,False,False,False
377,71.0,190.5,251.0,4.83,29.0,24.0,115.0,6.8,4.19,4.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15406.0,162216.0,2009.0,15406.0,162216.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,9.7,0.0,3.0,9.7,0.0,1.5,False,False,False,True,False
